FieldNumber,Priority,TAG,FieldName,Category,DataType,Definition,Guidance
AR1,Mandatory,dynamic,Pool Cut-off Date,Core,Date,Pool or Portfolio cut-off date. All dates take DD-MM-YYYY format.,"Populate with the ‘run date’ i.e. the date at which data was produced, not the date of submission to the Bank."
AR2,Mandatory,static,Pool Identifier,Core,Text/Numeric,Pool or Portfolio identifier / name of transaction.,"An identifier for each portfolio of loans sold into the transaction. In the case of raw loan pools, this must only be populated with the Pool ISIN supplied by the Bank of England."
AR3,Mandatory,static,Loan Identifier,Core,Text/Numeric,"Unique identifier (ID) for each loan. The loan ID should not change through the life of the transaction. If the original loan ID cannot be maintained in this field enter the original ID followed by the new ID, comma delimited.","Loan identifiers should be consistent across portfolios of the same originator in the event loans are moved between portfolios. Each unique loan identifier must be on a separate row, and a unique identifier must be used for every loan. For further loan advances the original loan identifier must be prefixed sequentially, for example; 100-1 on the first row, 100-2 on the second row. Numeric identifiers are limited to 15 characters, whereas alphanumeric identifiers are not. Where multiple borrowers are party to a loan, only individual IDs must be less than 15 characters - identifiers separated by commas or semi colons will be read as separate IDs."
AR4,Optional,static,Regulated Loan,Core,Y / N / ND,Indication if the loan is regulated (Y) or not. This is to indicate a loan regulated by the consumer credit act in the UK or equivalent in continental Europe.,Only loans regulated by the Consumer Credit Act in the UK should be designated as 'Y'
AR5,Mandatory,static,Originator,Core,Text,Lender that advanced the original loan.,nan
AR6,Mandatory,static,Servicer Identifier,Core,Text/Numeric,Unique identifier per servicer to flag which entity is servicing the loan.,"If multiple servicers are being used, clarification should be provided in the reporting glossary. Numeric identifiers are limited to 15 characters, whereas alphanumeric identifiers are not. Where multiple borrowers are party to a loan, only individual IDs must be less than 15 characters - identifiers separated by commas or semi colons will be read as separate IDs. These ID fields must be unique e.g. a single ID per individual borrower."
AR7,Mandatory,static,Borrower Identifier,Core,Text/Numeric,Unique identifier (ID) per borrower (not showing the real name) - to enable borrowers with multiple loans in the pool to be identified (e.g. further advances / second liens are shown as separate entries). Should not change over the life of the transaction. If more than one borrower list the Borrower ID's comma delimited with primary borrower first.,"Numeric identifiers are limited to 15 characters, whereas alphanumeric identifiers are not. These ID fields must be unique e.g. a single ID per individual borrower. Where multiple borrowers are party to a loan, only individual IDs must be less than 15 characters. Multiple identifiers should be separated by commas or semi colons. Where multiple loans or properties exist at the account level, the borrower identifier must be repeated on multiple rows. This includes further advances."
AR8,Mandatory,static,Property Identifier,Core,Text/Numeric,Unique identifier per property to enable properties with multiple loans in the pool to be identified (e.g. further advances / second liens are shown as separate entries).,"Each unique property identifier must be on a separate row, and a unique identifier must be used for every property. Numeric identifiers are limited to 15 characters, whereas alphanumeric identifiers are not. Where multiple borrowers are party to a loan, only individual IDs must be less than 15 characters - identifiers separated by commas or semi colons will be read as separate IDs."
AR9,,,Blank,Core,,nan,nan
AR10,,,Blank,Core,,nan,nan
AR11,,,Blank,Core,,nan,nan
AR12,,,Blank,Core,,nan,nan
AR13,,,Blank,Core,,nan,nan
AR14,,,Blank,Core,,nan,nan
AR15,Optional,static,Borrower Type,Borrower Information,List,The type of borrower IND - individual COM - commercial SCI - Société Civile Immobilière ND - No Data,nan
AR16,Optional,static,Foreign National,Borrower Information,Y / N / ND,Indicating whether the borrower is a national of the country in which the property and mortgage loan resides.,nan
AR17,Optional,static,Borrower Credit Quality,Borrower Information,Text,Originators own definition of borrower credit quality Free text using originator own terms ND - No Data,"Consistent terminology (e.g.. prime, sub-prime, etc.) should be used by each Issuer with definitions / explanations provided in the reporting glossary"
AR18,Optional,static,Borrower Year of Birth,Borrower Information,Date,Borrower year of birth. YYYY format.,"Refers to the primary borrower. N.B. Year of birth, not full date."
AR19,Mandatory,static,Number of Debtors,Borrower Information,Numeric,Number of borrowers to the loan,"This template provides space for information on up to 2 borrowers to a loan. To the extent that there are more borrowers than this, further information should be provided on AR20, AR26-27, AR189-AR210 and AR221-AR234 and AR236."
AR20,Optional,static,Second Applicant Year of Birth,Borrower Information,Date,Second applicant year of birth. YYYY format.,"Consistent with field AR18, only the year of birth of the secondary borrower should be completed. N.B. Year of birth, not full date."
AR21,Mandatory,static,Borrower's Employment Status,Borrower Information,List,"Employment status of the primary applicant: Employed or full loan is guaranteed (1) Employed with partial support (company subsidy) (2) Protected life-time employment (Civil/government servant) (3) Unemployed (4) Self-employed (5) No employment, borrower is legal entity (6) Student (7) Pensioner (8) Other (9) No Data (ND)",In relation to the primary borrower
AR22,Optional,static,First-time Buyer ,Borrower Information,Y / N / ND,First time buyer flag,"Relates to primary borrower. To the extent this designation is made on a loan, not borrower, basis, please note this in the glossary"
AR23,Optional,static,Right to Buy,Borrower Information,Y / N / ND,Right to Buy (RTB) flag,nan
AR24,Optional,static,Right to Buy Price,Borrower Information,Numeric,Purchase price of RTB property,If the loan is classified on the lender's system as a right-to-buy
AR25,Optional,static,Class of Borrower,Borrower Information,Text,Class of borrower based on credit scoring or other classification,List of class definitions used to be explained in the reporting glossary
AR26,Mandatory,static,Primary Income,Borrower Information,Numeric,Primary borrower underwritten gross annual income (not rent),"Where there is more than one borrower but only joint income is recorded, the joint income should be entered as the 'Primary Income' (AR26) and 'Secondary Income' (AR28) should be zero"
AR27,Mandatory,static,Income Verification for Primary Income,Borrower Information,List,Income verification for primary income: Self-certified no checks (1) Self-certified with affordability confirmation (2) Verified (3) Non-Verified Income (4) Other (5) No Data (ND),nan
AR28,Mandatory,static,Secondary Income,Borrower Information,Numeric,Secondary borrower underwritten gross annual income (not rent – if single borrower then 0). When there are more than two borrowers indicate total annual combined income,"Where there is more than one borrower but only joint income is recorded, the joint income should be entered as the 'Primary Income' (AR26) and 'Secondary Income' (AR28) should be zero"
AR29,Mandatory,static,Income Verification for Secondary Income,Borrower Information,List,Income verification for secondary income: Self-certified no checks (1) Self-certified with affordability confirmation (2) Verified (3) Non-Verified Income (4) Other (5) No Data (ND),nan
AR30,Optional,static,Resident,Borrower Information,List,Whether borrower is resident of the country: Resident less than 3 years (1) Resident >= 3 years (2) Not Resident (3) No Data (ND),nan
AR31,Mandatory,static,Number of County Court Judgements or equivalent  - Satisfied,Borrower Information,Numeric,Number of County Court Judgements (CCJs) or equivalent in particular jurisdiction (typically a default or court proceedings flag in continental Europe) - recorded against the primary borrower that were satisfied (the balance cleared) at time of underwriting,Relates to primary borrower only. Either field AR31 or AR32 can be provided if both are not available
AR32,Mandatory,static,Value of County Court Judgements or equivalent - Satisfied,Borrower Information,Numeric,Total value of CCJs or equivalent recorded against the primary borrower that were satisfied at time of underwriting,Relates to primary borrower only. Either field AR31 or AR32 can be provided if both are not available
AR33,Mandatory,static,Number of County Court Judgements or equivalent - Unsatisfied,Borrower Information,Numeric,Number of CCJs or equivalent recorded against the primary borrower that were unsatisfied at time of underwriting,Relates to primary borrower only. Either field AR33 or AR34 can be provided if both are not available
AR34,Mandatory,static,Value of County Court Judgements or equivalent - Unsatisfied,Borrower Information,Numeric,Total value of CCJs or equivalent recorded against the primary borrower that were unsatisfied at time of underwriting,Relates to primary borrower only. Either field AR33 or AR34 can be provided if both are not available
AR35,Optional,static,Last County Court Judgements or equivalent – Date,Borrower Information,Date / ND,Date last CCJ or equivalent was registered against the primary borrower regardless of satisfied or not,Relates to primary borrower only Date does not have to correspond to the CCJs reported in AR31-34 if there has been a new CCJ since the time of underwriting
